,USGS-LESTER LEWIS/S788,NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795,NWFWMD-BRADFORD BROOK DEEP/S793,NWFWMD-BRADFORD BROOK SHALLOW,TOM BROWN TEST/S791,USGS-OLSON RD./S677,NWFWMD-HQ FLORIDAN OBS/S704,USGS-LAKE JACKSON INTERMEDIATE/S706,NWFWMD-NITRATE #1,NWFWMD-NITRATE #2/S790,NWFWMD-NITRATE #4/S782,NWFWMD-NITRATE #5/S796,NWFWMD-NITRATE #6/S797,WAKULLA CORRECTIONAL INSTITUTE #1/S779,WAKULLA CONDUIT WELL@WEST OF HWY 61,FGS - SULLIVAN SINK #1,NWFWMD GW-2F-LZ (FT BRADEN)/S802,NWFWMD GW-3F-LZ (ANF FR-305),NWFWMD GW-4F-UZ (HWY27 DOT),NWFWMD GW-5F (LEON CTY VFD)/S814,NWFWMD GW-6F (MICC GREENWAY)/S816,NWFWMD GW-7F (LEON CR-59)/S818,NWFWMD GW-5S (LEON CTY VFD),NWFWMD GW-7S (LEON CR-59),NWFWMD GW-4F-LZ (HWY27 DOT)/S812,NWFWMD GW-12F (RIVERSPRINGS MS)/S820,NWFWMD GW-2S (FT BRADEN)/S805,NWFWMD GW-6S (MICC GREENWAY),NWFWMD GW-2F-UZ (FT BRADEN)/S826,NWFWMD GW-3F-UZ (ANF FR-305)
USGS-LESTER LEWIS/S788,1,0.485319711,0.297208899,0.413244811,0.263332852,0.169284681,0.184878269,-0.044490737,0.156643986,0.191713324,0.398906356,0.548868429,0.54693609,0.124106435,0.307242457,0.38251711,0.224969238,0.218436362,0.491829173,0.361983129,0.234214347,-0.160614528,0.336231571,0.007572667,0.519798715,0.300687334,0.54836247,0.10583504,0.331808613,0.401904312
NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795,0.485319711,1,0.885825027,0.782120994,0.867506428,0.740908604,0.485093863,0.259152959,-0.019849916,0.068836566,0.591762973,0.959198313,0.958796711,-0.013626743,0.43134544,0.680635355,0.672370651,0.694825506,0.886581597,0.807697869,0.789397895,0.395142548,0.832810509,0.3817664,0.845580523,0.471155831,0.827779001,0.662666827,0.553048357,0.739068838
NWFWMD-BRADFORD BROOK DEEP/S793,0.297208899,0.885825027,1,0.752621008,0.977647342,0.912279924,0.663454725,0.531685241,-0.195058989,-0.146698999,0.280961822,0.847959245,0.850443132,-0.046519862,0.206595537,0.381648627,0.87355045,0.88562814,0.868344479,0.875632922,0.931818825,0.668856736,0.868111306,0.644475973,0.80215314,0.169162225,0.84956611,0.84269721,0.681577597,0.852812554
NWFWMD-BRADFORD BROOK SHALLOW,0.413244811,0.782120994,0.752621008,1,0.7316285,0.596144743,0.553713534,0.180901213,-0.254613885,-0.159557003,0.28681884,0.818400645,0.820493682,-0.014683318,0.062740482,0.468566884,0.743330057,0.763165295,0.811192137,0.7633435,0.768039092,0.401445561,0.783088559,0.436139849,0.761875796,0.181677918,0.87813701,0.682343866,0.619033527,0.822914151
TOM BROWN TEST/S791,0.263332852,0.867506428,0.977647342,0.7316285,1,0.941802476,0.684094628,0.604540172,-0.206124723,-0.154754893,0.259563205,0.849989095,0.846995471,-0.05223004,0.190972048,0.349074085,0.884636644,0.887527905,0.886609182,0.904248777,0.958824241,0.770656827,0.881571635,0.70694863,0.824059366,0.145118894,0.840997041,0.893956158,0.680234245,0.873725453
USGS-OLSON RD./S677,0.169284681,0.740908604,0.912279924,0.596144743,0.941802476,1,0.678861234,0.71202435,-0.236764902,-0.225012178,0.129854766,0.730419765,0.724114696,-0.068606255,0.13316742,0.181605918,0.859817737,0.861013289,0.817989003,0.882807989,0.945299395,0.828828611,0.858939661,0.769840401,0.755115478,0.013480986,0.768507488,0.921677988,0.649109593,0.812553087
NWFWMD-HQ FLORIDAN OBS/S704,0.184878269,0.485093863,0.663454725,0.553713534,0.684094628,0.678861234,1,0.72004751,-0.46535378,-0.470070864,-0.158060414,0.566882131,0.569325417,-0.051589928,-0.302651612,0.045296532,0.926624151,0.918127177,0.628903547,0.75926884,0.825025083,0.700824614,0.624082972,0.805852453,0.575149158,-0.234111675,0.710639846,0.77695832,0.795341943,0.748210635
USGS-LAKE JACKSON INTERMEDIATE/S706,-0.044490737,0.259152959,0.531685241,0.180901213,0.604540172,0.71202435,0.72004751,1,-0.18671586,-0.230962232,-0.174902482,0.297504297,0.28259475,-0.081001394,-0.061296517,-0.196714588,0.816003283,0.797723842,0.440163109,0.697808845,0.78327601,0.958631937,0.520390187,0.947503278,0.408644397,-0.236897144,0.511786459,0.839263326,0.513362481,0.591624283
NWFWMD-NITRATE #1,0.156643986,-0.019849916,-0.195058989,-0.254613885,-0.206124723,-0.236764902,-0.46535378,-0.18671586,1,0.9912389,0.65386491,-0.08510414,-0.046063622,0.219539706,0.797927942,0.425783427,-0.258871792,-0.279926535,-0.14380002,-0.149218293,-0.232765594,-0.211297555,-0.252534986,-0.292434553,-0.054489926,0.779553604,-0.215392516,-0.24009226,-0.270011798,-0.234249226
NWFWMD-NITRATE #2/S790,0.191713324,0.068836566,-0.146698999,-0.159557003,-0.154754893,-0.225012178,-0.470070864,-0.230962232,0.9912389,1,0.720836666,0.014553163,0.037283069,0.196602797,0.822194913,0.522492625,-0.244931814,-0.271250503,-0.084599121,-0.126927979,-0.203535094,-0.185412977,-0.226094515,-0.268328573,-0.00211541,0.826594013,-0.206715675,-0.207375468,-0.248902565,-0.212055634
